2020-02-21 20:39:45,776 |    pack.madgraph.run |   INFO | b'INFO: Generating Feynman diagrams for Process: g c > xd xd~ c DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,792 |    pack.madgraph.run |   INFO | b'INFO: Generating Feynman diagrams for Process: g d > xd xd~ d DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,809 |    pack.madgraph.run |   INFO | b'INFO: Generating Feynman diagrams for Process: g d > xd xd~ b DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,826 |    pack.madgraph.run |   INFO | b'INFO: Generating Feynman diagrams for Process: g s > xd xd~ s DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,842 |    pack.madgraph.run |   INFO | b'INFO: Generating Feynman diagrams for Process: g u~ > xd xd~ u~ DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,858 |    pack.madgraph.run |   INFO | b'INFO: Generating Feynman diagrams for Process: g c~ > xd xd~ c~ DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,874 |    pack.madgraph.run |   INFO | b'INFO: Generating Feynman diagrams for Process: g d~ > xd xd~ d~ DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,890 |    pack.madgraph.run |   INFO | b'INFO: Generating Feynman diagrams for Process: g d~ > xd xd~ b~ DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,906 |    pack.madgraph.run |   INFO | b'INFO: Generating Feynman diagrams for Process: g s~ > xd xd~ s~ DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,925 |    pack.madgraph.run |   INFO | b'INFO: Generating Feynman diagrams for Process: g b > xd xd~ b DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,941 |    pack.madgraph.run |   INFO | b'INFO: Generating Feynman diagrams for Process: g b~ > xd xd~ b~ DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,990 |    pack.madgraph.run |   INFO | b'INFO: Finding symmetric diagrams for subprocess group gq_xdxdxq'
2020-02-21 20:39:45,995 |    pack.madgraph.run |   INFO | b'INFO: Creating files in directory P1_qq_xdxdxg'
2020-02-21 20:39:46,014 |    pack.madgraph.run |   INFO | b'INFO: Generating Feynman diagrams for Process: u u~ > xd xd~ g DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:46,031 |    pack.madgraph.run |   INFO | b'INFO: Generating Feynman diagrams for Process: c c~ > xd xd~ g DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:46,046 |    pack.madgraph.run |   INFO | b'INFO: Generating Feynman diagrams for Process: d d~ > xd xd~ g DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:46,063 |    pack.madgraph.run |   INFO | b'INFO: Generating Feynman diagrams for Process: d b~ > xd xd~ g DMV<=2 WEIGHTED<=5 @1'
